Name,hd,RA,DEC,Vmag,eVmag,PlxFlag,Teff,eTeff,Logg,eLogg,Vt,eVt,[Fe/H],e[Fe/H],Reference,Link,SWFlag,Update,Comment,Database,gaia_dr2,gaia_dr3,Plx,ePlx,Gmag,eGmag,RPmag,eRPmag,BPmag,eBPmag,FG,eFG,G_flux_std_n,Logg_gaia,eLogg_gaia,Mass_t,eMass_t,Radius_t,eRadius_t,spec_base,Distance,RA_EU,DEC_EU,RA_NASA,DEC_NASA,Distance_b,eDistance_b
Kepler-354,,19 03 0.35,+41 20 08.30,,,GAIAeDR3,4648.0,200.0,4.63,0.3,,,-0.04,0.5,Rowe et al. 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0,2018-07-30,,"EU,NASA",2103860562828483712,2103860562828483712,1.8328,0.0239,15.5421,0.0028,14.7852,0.0041,16.1751,0.0039,11430.0,3.317,0.0058966,4.690532226916675,0.1321949899783413,0.6947492051921688,0.0694742806181969,0.6147000696019439,0.0201384384017885,,545.6132693147099,285.75145200000014,41.33564000000001,285.7515347,41.3356739,538.89032,7.662658999999963
Kepler-355,,19 03 11.87,+42 48 42.42,,,GAIAeDR3,5768.0,60.0,4.3,0.1,,,-0.06,0.04,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,"EU,NASA",2105535462635217792,2105535462635217792,0.6852,0.0202,15.0542,0.0028,14.5446,0.0041,15.3942,0.0035,17920.0,4.199,0.0046636,4.286072691840453,0.0327497304941661,0.9999948825867796,0.0163021741156409,1.1749279689514036,0.0384922919312316,,1459.42790426153,285.799457,42.811783,285.7994917,42.8117427,1410.64954,41.009270000000015
Kepler-356,,19 29 41.06,+37 40 58.15,,,GAIAeDR3,6139.0,60.0,4.25,0.1,,,0.05,0.04,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,"EU,NASA",2051842839520109568,2051842839520109568,1.4745,0.0132,12.9533,0.0028,12.4965,0.0038,13.2507,0.0029,124100.0,28.4,0.0042891,4.279639359198451,0.0232675771509896,1.1694403135473368,0.0178299951759147,1.3300744020524895,0.0435751071784897,,678.195998643608,292.421077,37.682819,292.4210998000001,37.6827919,666.8865969999998,5.8829339999999775
Kepler-357,,19 24 58.34,+44 00 31.39,,,GAIAeDR3,4934.0,60.0,4.59,0.1,,,0.06,0.04,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,"EU,NASA",2126194667646233984,2126194667646233984,1.4085,0.0245,15.5073,0.0028,14.8278,0.004,16.039,0.0038,11800.0,3.75,0.005824,4.635408690141432,0.0383390147013204,0.7523460823383812,0.0103463060915672,0.6745138745927797,0.0220980227372263,,709.97515086972,291.243104,44.00872,291.2429746,44.0086337,696.392395,17.10540800000001
Kepler-358,,19 32 55.25,+48 16 52.95,,,GAIAeDR3,5908.0,200.0,4.5,0.3,,,-0.03,0.5,Rowe et al. 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0,2018-07-30,,"EU,NASA",2128902558627267200,2128902558627267200,0.9096,0.0226,15.3452,0.0028,14.7952,0.004,15.7351,0.0032,13700.0,4.3210000000000015,0.0059571999999999,4.67404806052418,0.1025201972992715,0.9778963439582818,0.1387980920523568,0.7791533063838866,0.0255261576207769,,1099.38434476693,293.230225,48.281376,293.2302333,48.2813901,1069.26196,23.793339999999947
Kepler-359,,19 33 10.47,+42 11 46.87,,,GAIAeDR3,5584.0,60.0,4.5,0.1,,,-0.29,0.04,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,"EU,NASA",2077683871034907648,2077683871034907648,0.6784,0.0281,15.8703,0.0028,15.3289,0.0043,16.2504,0.0039,8450.0,2.852,0.0065704,4.475726324075403,0.0383898683857158,0.8470288369950365,0.012509017333736,0.8620877118220435,0.0282432053289165,,1474.05660377358,293.293635,42.196354,293.2936129,42.196349700000006,1415.2937,49.74950999999986
Kepler-36,,19 25 00.02,+49 13 54.77,11.94,0.17,GAIAeDR3,5979.0,60.0,4.11,0.1,,,-0.18,0.04,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,"EU,NASA",2129931456691176576,2129931456691176576,1.8528,0.0087,12.0702,0.0028,11.6188,0.0038,12.3582,0.0028,279800.0,41.98,0.002959,4.065932957246557,0.0224148929961778,1.1471814743968018,0.0149681280001477,1.696684099068252,0.0555857562184862,,539.72366148532,291.2501910000001,49.231827,291.2501859,49.2318073,531.9997559999998,2.319458000000054
Kepler-360,,19 05 08.33,+44 46 53.60,,,GAIAeDR3,5604.0,60.0,4.59,0.1,,,0.15,0.04,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,"EU,NASA",2106316012810255104,2106316012810255104,1.1261,0.0165,14.7962,0.0028,14.2621,0.0041,15.1654,0.0034,22720.0,10.9,0.0091515,4.520345233595625,0.0288273429960357,0.9396967056927268,0.0151492031972667,0.9003796778021574,0.0294977039637928,,888.020602077968,286.284731,44.781555,286.2847077,44.7815817,869.6429439999997,12.136901999999964
Kepler-361,,19 47 12.83,+46 44 28.15,,,GAIAeDR3,6145.0,60.0,4.17,0.1,,,0.04,0.04,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,"EU,NASA",2080340222407746816,2080340222407746816,1.0536,0.0113,13.5328,0.0028,13.0553,0.0038,13.8479,0.0029,72750.0,13.26,0.00333,4.2341138991026215,0.0233051136394655,1.1918355015083586,0.0178604358950729,1.4112996398296536,0.0462361601513732,,949.126803340926,296.803453,46.741154,296.8034146,46.7411011,927.704163,9.675232000000053
Kepler-362,,19 27 5.19,+47 31 47.65,,,GAIAeDR3,5625.0,60.0,4.42,0.1,,,-0.12,0.04,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,"EU,NASA",2129141083930129536,2129141083930129536,0.9613,0.0449,14.4798,0.0028,13.933,0.0039,14.8438,0.0031,30410.0,11.8,0.0075051999999999,4.271827567198612,0.0472128383714683,0.9456411626508444,0.0182158528720283,1.1944453083579256,0.0391317074069115,,1040.25798398003,291.771639,47.529903,291.771603,47.5299192,1013.45612,52.79729999999995
Kepler-363,,18 52 46.1,+41 18 19.41,,,GAIAeDR3,5648.0,60.0,4.0,0.1,,,0.44,0.04,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,"EU,NASA",2104466153215402624,2104466153215402624,1.3099,0.0098,13.3036,0.0028,12.7371,0.0038,13.7091,0.0029,89850.0,10.63,0.0023461,4.167766676405,0.025415193816996,1.1792408886459345,0.0171384505153278,1.5000787056267053,0.0491446871490683,,763.417054737003,283.1920810000001,41.305393,283.1920779,41.3054172,748.254822,6.162232000000018
Kepler-364,,18 46 16.79,+47 23 55.31,,,GAIAeDR3,6090.0,60.0,4.25,0.1,,,-0.04,0.04,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,"EU,NASA",2119591206965104768,2119591206965104768,1.1147,0.0107,13.6019,0.0028,13.1649,0.0038,13.8817,0.0029,68260.0,13.38,0.0038266,4.267299059989337,0.0234166514935622,1.1238307041816165,0.0167609715515557,1.3842734807663402,0.045350745188128,,897.102359379205,281.569933,47.398697,281.5699998,47.3986233,878.9458619999997,7.80767800000001
Kepler-365,,19 42 30.38,+49 07 49.57,,,GAIAeDR3,6012.0,200.0,4.43,0.3,,,-0.05,0.5,Rowe et al. 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0,2018-07-30,,"EU,NASA",2134773160443224192,2134773160447382656,0.6716,0.0225,15.3697,0.0028,14.847,0.0041,15.7193,0.0036,13400.0,4.166,0.0062099,4.472082366570897,0.1008112482357628,1.0344894656662404,0.1419283983959754,0.9555074708588924,0.0313037679608548,,1488.98153662895,295.626598,49.130436,295.6265640000001,49.130411,1453.66223,52.62171000000011
Kepler-366,,19 47 24.49,+49 05 04.01,,,GAIAeDR3,5937.0,60.0,4.31,0.1,,,-0.06,0.04,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,"EU,NASA",2086824935828106496,2086824935828106496,0.4931,0.028,14.7822,0.0028,14.2653,0.0039,15.1201,0.0031,23020.0,7.093999999999999,0.0064277,4.03186890394248,0.0496493259655103,1.2051646476043685,0.0370459556296251,1.6376306086531442,0.05365108085737,,2027.9862096937693,296.852042,49.084446,296.8520316000001,49.0844359,1951.87878,125.47668
