2MASS J19153369+4437012,,19 15 33.68,+44 37 01.29,,,GAIADR3,5951.0,153.0,,,,,-0.14,0.27,Stassun et al. 2019,https://doi.org/10.3847/1538-3881/ab346,0,2022-09-19,,EU,2127127122225065088,2127127122225065088,4.3253,0.0116,10.284826,0.002999,9.811011,0.004209,10.596714,0.004465,1448800.0,1580.9,0.020090735,4.068907368976696,0.0646177221308695,1.1567365670017051,0.0833373134436441,1.709873898358624,0.0560178725849493,,231.19783598825512,288.89041,44.61702,,,230.587662,0.765640000000019
2MASS J18584792+4622303,,18 58 47.92,+46 22 30.34,,,Simbad,5780.0,,,,,,,,Stassun et al. 2019,https://doi.org/10.3847/1538-3881/ab346,0,2022-09-19,,EU,-1,-1,-1.0,-1.0,,,,,,,,,,,,,,,,,-1000.0,284.69968,46.375092,,,,
HD 211847,211847,22 20 55.74,-41 25 48.37,8.62,0.01,GAIAeDR3,5676.0,24.0,4.44,0.06,0.99,0.04,-0.06,0.02,Sousa et al. 2021,https://ui.adsabs.harvard.edu/abs/2021arXiv210904781S/abstract,1,2021-01-01,,EU,6569471204463652608,6569471204463652608,20.5229,0.0337,8.4773,0.0028,7.9679,0.0038,8.812000000000003,0.0028,7657000.0,1411.0,0.0041133,4.5083542548365685,0.0105252123236992,0.9107294849145322,0.0060920681347731,0.917920623174966,0.0300723699925898,HD211847_CORALIE_2009,48.7260572336268,335.233333352,-41.430000019,,,48.6566162,0.078521699999996
HD 283668,283668,04 27 53.00,+24 26 41.00,9.44,,Simbad,4958.0,88.0,4.79,0.22,0.08,1.48,-0.64,0.06,Sousa et al. 2021,https://ui.adsabs.harvard.edu/abs/2021arXiv210904781S/abstract,1,2021-01-01,No Plx in eDR3,EU,149340032971718912,-1,33.9873,0.2993,9.1168,0.0028,8.4467,0.0039,9.6136,0.0029,4248000.0,583.9,0.0027761,4.793566495002176,0.0493285365370383,0.6794604644226722,0.0155800236609249,0.5389582714653183,0.0176570306199367,HD283668_FIES_2017,29.422754970238884,66.97083335100001,24.44472224,,,0.0,0.0
HD 77065,77065,09 00 47.00,+21 27 13.00,8.8,,GAIAeDR3,4981.0,41.0,4.28,0.09,0.18,0.16,-0.52,0.04,Sousa et al. 2021,https://ui.adsabs.harvard.edu/abs/2021arXiv210904781S/abstract,1,2021-01-01,,EU,685029558383335168,685029558383335168,30.318,0.0721,8.5255,0.0028,7.9109,0.0038,8.9681,0.0028,7324000.0,1219.0,0.0027943,4.485834357276456,0.0208561917600239,0.7050452918455833,0.0053953086472398,0.8114305145621213,0.0265836043347491,HD77065_SOPHIE_HR_2020,32.9837060492117,135.195833349,21.453611123,,,32.9514389,0.0912093999999967
Kepler-456,,19 15 57.98,+41 13 22.92,,,GAIAeDR3,6258.0,170.0,4.08,0.25,,,-0.5,0.3,Wang et al. 2015,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1512.02559,0,2018-07-30,,"EU,NASA",2102202464934586752,2102202464934586752,1.396,0.0131,12.6798,0.0028,12.2018,0.0038,12.9928,0.0028,159600.0,28.53,0.0035844,4.126418388955943,0.0659695553860743,1.106098085391276,0.0871895086090664,1.3739405527492308,0.0450122239406562,,716.332378223496,288.99157501900004,41.2230333428,288.9916218,41.2230683,708.133362,5.7419439999999895
Kepler-470,,19 48 02.27,+50 22 20.3,,,GAIAeDR3,6613.0,200.0,4.14,0.18,,,0.04,0.14,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,"EU,NASA",2135313669189075968,2135313669189075968,1.05,0.0094,13.1483,0.0028,12.7408,0.0038,13.401,0.0029,103700.0,24.71,0.0045171,4.262495762437911,0.0652722822716402,1.3533602041334707,0.0534811946521296,1.3493584627094717,0.0442068801144004,,952.380952380952,297.00944,50.372314,297.009436,50.3722829,929.25,7.43402100000003
Kepler-488,,18 51 51.88,+48 20 42.3,,,GAIAeDR3,5970.0,96.0,4.39,0.12,,,0.03,0.16,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,"EU,NASA",2131712669826755328,2131712669826755328,0.8671,0.0174,14.7369,0.0028,14.2452,0.0042,15.0616,0.0037,24000.0,13.12,0.0100481,4.440863343377494,0.044243805677831,1.0399670162795909,0.0482780227536959,0.9840654420828464,0.0322393672438451,,1153.26951908661,282.966173,48.34507,282.9662152,48.3450555,1119.07495,20.953610000000022
Kepler-628,,19 21 47.82,+39 51 17.3,,,GAIAeDR3,5721.0,49.0,4.22,0.14,,,0.04,0.08,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,"EU,NASA",2101084708287433984,2101084708287433984,1.1245,0.0104,13.0425,0.0028,12.5354,0.0038,13.3855,0.0029,114300.0,20.47,0.0033469,3.96516219343252,0.0220981668340682,1.20083244354096,0.0262980314871967,1.9796781934196863,0.0648570405716126,,889.284126278346,290.449257,39.854802,290.4492955,39.854802,869.560852,9.481079000000024
Kepler-706,,19 27 02.50,+41 56 38.7,,,GAIAeDR3,5394.0,92.0,4.54,0.07,,,-0.06,0.16,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,"EU,NASA",2101740257736205696,2101740257736205696,1.1708,0.023,15.1556,0.0028,14.5504,0.0041,15.5818,0.0036,16320.0,5.912999999999999,0.006562,4.570355732945754,0.0482392881520643,0.8348624913025876,0.0319423480934184,0.8555798605851328,0.0280299989739093,,854.1168431841479,291.760406,41.944077,291.7602803000001,41.9440794,836.279846,18.385497999999984
NGC 4349 127,,12 24 35.47,-61 49 11.88,10.82,0.08,GAIAeDR3,4529.0,83.0,2.0,0.21,1.84,0.08,-0.09,0.05,Sousa et al. 2021,https://ui.adsabs.harvard.edu/abs/2021arXiv210904781S/abstract,1,2021-01-01,,EU,6054914812271954176,6054914812271954176,0.5348,0.0143,10.2669,0.0028,9.3741,0.0038,11.0994,0.0029,1473000.0,304.5,0.0044239,2.112488242209885,0.0473422248963322,3.0297890422074945,0.0490043326213065,23.634588421616737,0.7743023412842156,NGC4349127_HARPSS_115000_378_691_2020,1869.8578908003,186.0333333,-61.8716667,,,1807.02625,46.04760999999985
WD 1145+017,,11 48 33.00,+01 28 59.00,17.0,,GAIAeDR3,15900.0,500.0,8.0,,,,,,Vandenburg et al. 2015,http://adsabs.harvard.edu/abs/2015Natur.526..546V,0,2015-11-09,White dwarf,EU,3796414192429498880,3796414192429498880,6.8534,0.0907,17.1457,0.0034,17.25,0.0124,17.0788,0.0095,2610.0,4.644,0.0290731,-inf,,0.2335645965063252,2.921712265033132,,,,145.912977500219,177.137500011,1.483055578,,,145.80954,1.9112250000000013
HD 148284,148284,16 25 48.41,+30 15 54.45,9.02,0.01,GAIAeDR3,5572.0,25.0,3.97,0.03,0.85,,0.15,0.01,Brewer et al. 2018,http://adsabs.harvard.edu/abs/2016ApJS..225...32B,0,2018-09-25,,EU,1318110830190386048,1318110830190386048,8.1935,0.0343,8.8439,0.0028,8.3133,0.0038,9.2035,0.0028,5462000.0,663.2,0.0027659,3.9398582419513577,0.0108797489379856,1.1925774903387818,0.0064588223870791,1.884013698144949,0.0617229372249577,,122.047964850186,246.450000016,30.265000017,,,121.698631,0.4979550000000046
HD 203473,203473,21 22 18.87,+05 01 24.91,8.21,0.01,GAIAeDR3,5858.0,19.0,4.2,0.04,1.19,0.02,0.21,0.02,Sousa et al. 2021,https://ui.adsabs.harvard.edu/abs/2021arXiv210904781S/abstract,1,2021-01-01,,EU,1738397638078725248,1738397638078725248,13.7402,0.037,8.0877,0.0028,7.5978,0.0038,8.4067,0.0028,10960000.0,1858.0,0.0032205,4.175043248963966,0.0081763349874567,1.1756641246220296,0.0078543752831116,1.4436197810154965,0.0472950134110283,HD203473_HARPSS_115000_378_691_2020,72.77914440837841,320.578642082,5.023587951700001,320.57941960000005,5.0235858,72.6539536,0.2345962999999926
HD 217850,217850,23 02 36.67,+58 52 33.53,8.5,0.01,GAIAeDR3,5631.0,31.0,4.21,0.08,0.94,0.04,0.3,0.02,Sousa et al. 2021,https://ui.adsabs.harvard.edu/abs/2021arXiv210904781S/abstract,1,2021-01-01,,EU,2013333544271181824,2013333544271181824,16.1552,0.5212,8.3319,0.0028,7.7906,0.0038,8.7035,0.0028,8754000.0,1252.0,0.0029031999999999,4.28975394455973,0.0288719110911055,1.061376725932574,0.0135274404182988,1.167840776772133,0.0382601055525373,HD217850_SOPHIE_HR_2020,61.899574130930006,345.654166679,58.876111136000006,345.6526588,58.8754484,62.1027603,2.1683426000000026
HD 26965,26965,04 15 16.32,-07 39 10.33,4.43,,GAIAeDR3,5117.0,34.0,4.41,0.06,0.51,0.09,-0.35,0.02,Sousa et al. 2021,https://ui.adsabs.harvard.edu/abs/2021arXiv210904781S/abstract,1,2021-01-01,,"EU,NASA",3195919528988725120,3195919528989223040,199.608,0.1208,4.1799,0.0029,3.5697,0.0048,4.6110000000000015,0.0029,400900000.0,371100.0,0.0161412,4.467641496260503,0.0164358995244458,0.7466691537340489,0.0044546061225172,0.8305959429863685,0.0272114907119469,HD26965_HARPSS_115000_378_691_2020,5.00981924572161,63.8179984638,-7.652872348630002,63.8082666,-7.6676027,5.00924635,0.0032157899999996
EPIC 206061524,,22 20 13.76,-13 06 52.65,,,GAIAeDR3,,,,,,,,,Schmitt et al 2016,http://adsabs.harvard.edu/abs/2016arXiv160306945S,0,2019-01-07,,EU,2600505429604015872,2600505429604015872,3.5299,0.0613,14.4299,0.003,13.4988,0.0041,15.1555,0.0033,31840.0,34.71,0.0160942,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,283.294144310037,335.057352206,-13.1146261536,,,280.373016,5.599181999999987
DW Uma,,10 33 52.88,+58 46 54.72,,,GAIAeDR3,,,,,,,,,Boyd et al. 2016,http://adsabs.harvard.edu/abs/2017MNRAS.466.3417B,0,2019-05-20,M3,EU,855119196836523008,855119196836523008,1.6958,0.0196,14.2505,0.0105,14.0279,0.0273,14.339,0.0327,37560.0,349.8,0.2383435,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,589.692180681684,158.470833351,58.781944472,,,579.431274,7.684326000000055
