# name, mass, mass_error_min, mass_error_max, radius, radius_error_min, radius_error_max, orbital_period, orbital_period_err_min, orbital_period_err_max, semi_major_axis, semi_major_axis_error_min, semi_major_axis_error_max, eccentricity, eccentricity_error_min, eccentricity_error_max, angular_distance, inclination, inclination_error_min, inclination_error_max, tzero_tr, tzero_tr_error_min, tzero_tr_error_max, tzero_tr_sec, tzero_tr_sec_error_min, tzero_tr_sec_error_max, lambda_angle, lambda_angle_error_min, lambda_angle_error_max, impact_parameter, impact_parameter_error_min, impact_parameter_error_max, tzero_vr, tzero_vr_error_min, tzero_vr_error_max, K, K_error_min, K_error_max, temp_calculated, temp_measured, hot_point_lon, albedo, albedo_error_min, albedo_error_max, log_g, publication_status, discovered, updated, omega, omega_error_min, omega_error_max, tperi, tperi_error_min, tperi_error_max, detection_type, mass_detection_type, radius_detection_type, alternate_names, molecules, star_name, ra, dec, mag_v, mag_i, mag_j, mag_h, mag_k, star_distance, star_metallicity, star_mass, star_radius, star_sp_type, star_age, star_teff, star_detected_disc, star_magnetic_field
CoRoT-102638570 b,2.1,,,,,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2007,2008-02-19,,,,,,,Controversial,,,,,CoRoT-102638570,100.5875,-1.1966667,12.27,,,,,,,2.2,,K4III,,,,
CoRoT-102638956 b,1.0,,,,,,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2007,2008-02-19,,,,,,,Controversial,,,,,CoRoT-102638956,100.5916667,0.5308333,13.52,,,,,,,1.0,,G2V,,,,
CoRoT-102664207 b,9.4,,,,,,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2007,2008-02-19,,,,,,,Controversial,,,,,CoRoT-102664207,100.725,-1.3438889,15.5,,,,,,,1.2,,F6V,,,,
CoRoT-102666192 b,3.4,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2007,2008-02-19,,,,,,,Controversial,,,,,CoRoT-102666192,100.7375,0.3227778,14.62,,,,,,,1.3,,G2V,,,,
CoRoT-102706026 b,8.7,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2007,2008-02-19,,,,,,,Controversial,,,,,CoRoT-102706026,0.0,0.0,,,,,,,,1.2,,,,,,
CoRoT-102706986 b,10.2,,,,,,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2007,2008-02-19,,,,,,,Controversial,,,,,CoRoT-102706986,100.9458333,0.3972222,14.04,,,,,,,1.2,,G2V,,,,
CoRoT-102719528 b,4.0,,,,,,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2007,2008-02-19,,,,,,,Controversial,,,,,CoRoT-102719528,101.0166667,0.6088889,15.9,,,,,,,1.6,,G0III,,,,
CoRoT-102747456 b,1.8,,,,,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2007,2008-02-19,,,,,,,Controversial,,,,,CoRoT-102747456,101.1791667,-1.3705556,11.9,,,,,,,2.2,,K4III,,,,
CoRoT-7 d,0.052,0.001,0.001,,,,9.021,0.019,0.019,0.08,,,0.0,,,0.000533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2010,2014-07-08,,,,2454446.16,0.09,0.09,Controversial,,,,,CoRoT-7,100.9541667,-1.0627778,11.7,,,,,150.0,0.03,0.93,0.87,K0V,1.5,5313.0,,
DQ Her(ab) c,20.0,,,,,,6460.0,110.0,110.0,6.49,0.95,0.95,0.0,,,0.03245,86.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2009,2011-02-09,,,,,,,Controversial,,,,,DQ Her(ab),271.875,45.8591667,15.16,,,,,200.0,,1.0,,Nova,,,,
EX Lup b,14.7,0.7,0.7,,,,7.417,0.001,0.001,0.063,0.005,0.005,0.23,0.05,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2013,2013-11-19,96.8,11.4,11.4,2455405.112,0.224,0.224,Controversial,,,,,EX Lup,240.770833335,-39.693055544,8.5,,,,,155.0,0.0,0.6,1.6,M0,,3750.0,,
GD 66 b,2.11,0.14,0.14,,,,1650.0,77.0,77.0,2.356,0.081,0.081,0.0,,,0.046196,,,,,,,,,,,,,,,,2452938.8846146,2.8e-06,2.8e-06,,,,,,,,,,,1,2007,2008-01-25,,,,,,,Controversial,,,,,GD 66,80.1583333,30.8066667,15.6,,,,,51.0,,0.64,,DA,,11980.0,,
GJ 176 c,0.044,,,,,,40.0,0.11,0.11,0.18,,,0.0,,,0.019108,,,,,,,,,,,,,,,,2454291.07,0.31,0.31,,,,,,,,,,,1,2009,2010-12-17,,,,,,,Controversial,,,,,GJ 176,70.7333333,18.9580556,9.97,,6.462,5.824,5.607,9.42,-0.1,0.49,0.53,M2.5V,,,,
GJ 436 c,0.0009,0.0002,0.0002,0.059,0.0036,0.0036,1.365862,8e-06,8e-06,0.0185,,,,,,,86.7,,,245772.8086,0.0016,0.0016,,,,,,,,,,,,,,,,,,,,,,,1,2012,2012-09-03,,,,,,,Controversial,,,,,GJ 436,175.5458333,26.7063889,10.68,,,,,10.2,-0.32,0.452,0.464,M2.5,6.0,3684.0,,
GJ 436 d,0.00085,0.0002,0.0002,0.058,0.005,0.005,,,,,,,,,,,,,,2455225.026,0.003,0.003,,,,,,,,,,,,,,,,,,,,,,,1,2012,2012-09-03,,,,,,,Controversial,,,,,GJ 436,175.5458333,26.7063889,10.68,,,,,10.2,-0.32,0.452,0.464,M2.5,6.0,3684.0,,
GJ 667C h,0.0035,0.0028,0.0031,,,,16.946,0.05,0.07,0.0893,0.0093,0.0084,0.06,0.6,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2013,2014-05-25,115.0,360.0,360.0,,,,Controversial,,,,,GJ 667C,259.7375,-34.9897222,10.22,,,,,6.84,-0.55,0.33,,M1.5V,2.0,3600.0,,
Gj 758 b,20.0,10.0,20.0,,,,106000.0,44000.0,44000.0,54.5,20.6,20.6,0.69,0.2,0.2,3.516129,46.5,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,1,2009,2009-12-04,,,,,,,Controversial,,,,,Gj 758,290.8916667,33.2219444,6.36,,,,,15.5,0.18,0.97,0.88,G9,,,,
