# name, mass, mass_error_min, mass_error_max, radius, radius_error_min, radius_error_max, orbital_period, orbital_period_err_min, orbital_period_err_max, semi_major_axis, semi_major_axis_error_min, semi_major_axis_error_max, eccentricity, eccentricity_error_min, eccentricity_error_max, angular_distance, inclination, inclination_error_min, inclination_error_max, tzero_tr, tzero_tr_error_min, tzero_tr_error_max, tzero_tr_sec, tzero_tr_sec_error_min, tzero_tr_sec_error_max, lambda_angle, lambda_angle_error_min, lambda_angle_error_max, impact_parameter, impact_parameter_error_min, impact_parameter_error_max, tzero_vr, tzero_vr_error_min, tzero_vr_error_max, K, K_error_min, K_error_max, temp_calculated, temp_measured, hot_point_lon, albedo, albedo_error_min, albedo_error_max, log_g, publication_status, discovered, updated, omega, omega_error_min, omega_error_max, tperi, tperi_error_min, tperi_error_max, detection_type, mass_detection_type, radius_detection_type, alternate_names, molecules, star_name, ra, dec, mag_v, mag_i, mag_j, mag_h, mag_k, star_distance, star_metallicity, star_mass, star_radius, star_sp_type, star_age, star_teff, star_detected_disc, star_magnetic_field
SSTc2d J183037.24+011838,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2012,2012-08-06,,,,,,,Controversial,,,,,SSTc2d J183037.24+011838,277.6542,1.3106,,,19.71,,,,,0.003,,T1-T3,,1375.0,,
SWEEPS-01 ,,,,1.01,0.13,0.13,1.56,,,0.025,,,,,,3e-06,86.0,nan,inf,,,,,,,,,,,,,,,,,,,,,,,,,,1,2006,2007-04-20,,,,,,,Controversial,,,,,SWEEPS-01,269.7208333,-29.2094444,22.2,,,,,8500.0,,0.81,0.75,,,,,
SWEEPS-02 ,,,,1.37,0.25,0.25,0.912,,,0.015,,,,,,2e-06,86.0,nan,inf,,,,,,,,,,,,,,,,,,,,,,,,,,1,2006,2006-10-07,,,,,,,Controversial,,,,,SWEEPS-02,269.7208333,-29.205,25.1,,,,,8500.0,,0.55,0.5,,,,,
SWEEPS-03 ,,,,0.87,0.11,0.11,1.27,,,0.021,,,,,,2e-06,86.0,nan,inf,,,,,,,,,,,,,,,,,,,,,,,,,,1,2006,2006-10-07,,,,,,,Controversial,,,,,SWEEPS-03,269.725,-29.1955556,22.5,,,,,8500.0,,0.79,0.72,,,,,
SWEEPS-05 ,,,,1.09,0.1,0.1,2.313,,,0.03,,,,,,4e-06,87.0,nan,inf,,,,,,,,,,,,,,,,,,,,,,,,,,1,2006,2006-10-07,,,,,,,Controversial,,,,,SWEEPS-05,269.7291667,-29.1911111,23.9,,,,,8500.0,,0.66,0.61,,,,,
SWEEPS-06 ,,,,0.82,0.21,0.21,3.039,,,0.042,,,,,,5e-06,86.0,nan,inf,,,,,,,,,,,,,,,,,,,,,,,,,,1,2006,2006-10-07,,,,,,,Controversial,,,,,SWEEPS-06,269.7375,-29.2147222,19.4,,,,,8500.0,,1.09,1.36,,,,,
SWEEPS-07 ,,,,0.9,0.11,0.11,1.747,,,0.027,,,,,,3e-06,86.0,nan,inf,,,,,,,,,,,,,,,,,,,,,,,,,,1,2006,2006-10-07,,,,,,,Controversial,,,,,SWEEPS-07,269.7416667,-29.1875,21.4,,,,,8500.0,,1.09,1.36,,,,,
SWEEPS-08 ,,,,0.98,0.09,0.09,0.868,,,0.017,,,,,,2e-06,84.0,nan,inf,,,,,,,,,,,,,,,,,,,,,,,,,,1,2006,2006-10-07,,,,,,,Controversial,,,,,SWEEPS-08,269.7458333,-29.2247222,21.7,,,,,8500.0,,0.87,0.81,,,,,
SWEEPS-09 ,,,,1.01,0.12,0.12,1.617,,,0.025,,,,,,3e-06,86.0,nan,inf,,,,,,,,,,,,,,,,,,,,,,,,,,1,2006,2006-10-07,,,,,,,Controversial,,,,,SWEEPS-09,269.75,-29.2033333,22.4,,,,,8500.0,,0.79,0.73,,,,,
SWEEPS-10 ,,,,1.24,0.23,0.23,0.424,,,0.008,,,,,,1e-06,84.0,nan,inf,,,,,,,,,,,,,,,,,,,,,,,,,,1,2006,2006-10-07,,,,,,,Controversial,,,,,SWEEPS-10,269.7583333,-29.2227778,23.4,,,,,8500.0,,0.44,0.41,,,,,
SWEEPS-12 ,,,,0.91,0.11,0.11,2.952,,,0.038,,,,,,4e-06,87.0,nan,inf,,,,,,,,,,,,,,,,,,,,,,,,,,1,2006,2006-10-07,,,,,,,Controversial,,,,,SWEEPS-12,269.7666667,-29.2213889,21.8,,,,,8500.0,,0.86,0.8,,,,,
SWEEPS-13 ,,,,0.78,0.12,0.12,1.684,,,0.027,,,,,,3e-06,86.0,nan,inf,,,,,,,,,,,,,,,,,,,,,,,,,,1,2006,2006-10-07,,,,,,,Controversial,,,,,SWEEPS-13,269.775,-29.2183333,21.38,,,,,8500.0,,0.91,0.86,,,,,
SWEEPS-14 ,,,,0.93,0.09,0.09,2.965,,,0.037,,,,,,4e-06,87.0,nan,inf,,,,,,,,,,,,,,,,,,,,,,,,,,1,2006,2006-10-07,,,,,,,Controversial,,,,,SWEEPS-14,269.7833333,-29.1777778,22.38,,,,,8500.0,,0.8,0.73,,,,,
SWEEPS-15 ,,,,1.37,0.3,0.3,0.541,,,0.01,,,,,,1e-06,84.0,nan,inf,,,,,,,,,,,,,,,,,,,,,,,,,,1,2006,2006-10-07,,,,,,,Controversial,,,,,SWEEPS-15,269.7833333,-29.1733333,25.66,,,,,8500.0,,0.49,0.45,,,,,
SWEEPS-16 ,,,,1.4,0.18,0.18,0.969,,,0.017,,,,,,2e-06,85.0,nan,inf,,,,,,,,,,,,,,,,,,,,,,,,,,1,2006,2006-10-07,,,,,,,Controversial,,,,,SWEEPS-16,269.7833333,-29.1947222,23.78,,,,,8500.0,,0.68,0.62,,,,,
SWIFT J1756-2508,19.0,11.0,11.0,,,,0.0339873,4.4e-06,4.4e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2007,2014-01-30,,,,,,,Controversial,,,,,SWIFT J1756-2508,269.237500019,25.107777786,,,,,,8000.0,,1.8,,X-ray Pulsar,,,,
T Cha b,,,,,,,,,,6.7,1.0,1.0,,,,0.062037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2011,2011-02-18,,,,,,,Controversial,,,,,T Cha,0.0,0.0,11.06,,,,,108.0,,,,K0,0.007,,,
TW Hya b,1.2,0.4,0.4,,,,3.56,0.02,0.02,0.041,0.002,0.002,0.04,0.03,0.03,0.000759,7.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1,2007,2008-08-23,105.0,27.0,27.0,,,,Controversial,,,,,TW Hya,165.4666667,-34.7047222,11.1,9.18,8.22,7.56,7.3,54.0,,0.7,1.08,K8V,0.009,3600.0,,
TW Hya c,17.0,11.0,11.0,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2013,2013-06-14,,,,,,,Controversial,,,,,TW Hya,165.4666667,-34.7047222,11.1,9.18,8.22,7.56,7.3,54.0,,0.7,1.08,K8V,0.009,3600.0,,
TYC 2627A b,5.0,inf,nan,,,,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2010,2011-09-06,,,,,,,Controversial,,,,,TYC 2627A,275.0208333,31.9622222,10.9,,,,,218.0,0.0,1.25,1.25,G0,0.025,5900.0,,
UZ For(ab) c,6.3,1.4,1.4,,,,5800.0,1100.0,1100.0,5.9,1.4,1.4,0.04,0.05,0.05,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2010,2014-01-28,,,,,,,Controversial,,,,,UZ For(ab),53.8708333,-25.7394444,18.2,,,,,,,0.84,,Catac. var.,,,,
VB 10 b,6.4,3.1,2.6,,,,271.56,3.0,3.0,0.36,0.006,0.006,0.98,inf,nan,0.06175,96.9,1.8,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,1,2009,2009-12-18,38.7,3.3,3.3,,,,Controversial,,,,,VB 10,289.2416667,5.1505556,17.3,,9.91,9.23,8.77,5.83,,0.0779,,M8V,,,,
W 3(OH) b,,,,,,,,,,2000.0,,,,,,0.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2005-04-12,,,,,,,Controversial,,,,,W 3(OH),36.7666667,61.8727778,,,,,,3000.0,,,,O8,,,,
WASP-10 c,0.1,,,,,,5.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2010,2010-09-24,,,,,,,Controversial,,,,,WASP-10,348.9916667,31.4627778,12.7,,,,,90.0,0.03,0.71,0.783,K5,0.8,4675.0,,
WASP-12 c,0.098,0.009,0.009,,,,,,,0.0507,0.001,0.001,0.284,0.002,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2013,2013-01-28,223.8,2.5,2.5,,,,Controversial,,,,,WASP-12,97.6375,29.6722222,11.69,11.03,10.48,10.23,10.19,427.0,0.3,1.35,1.599,G0,1.7,6300.0,,
WASP-3 c,0.05,,,,,,3.75,0.03,0.03,0.051,,,,,,0.000229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2010,2012-11-02,,,,,,,Controversial,,,,,WASP-3,278.6333333,35.6616667,10.64,,,,,223.0,0.0,1.24,1.31,F7V,,6400.0,,
WASP-9 b,2.3,,,1.3,,,1.99,,,0.0311,,,,,,0.000207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2008,2011-11-29,,,,,,,Controversial,,,,,WASP-9,0.0,0.0,10.2,,,,,150.0,,,,G0,,5900.0,,
XO-2 c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2011,2014-05-30,,,,,,,Controversial,,,,,XO-2,117.0291667,50.2258333,11.18,,,,,149.0,0.45,0.98,0.964,K0V,2.0,5340.0,,
Z Cha(ab) c,20.0,,,,,,12000.0,70.0,70.0,9.9,,,0.0,,,,81.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2009,2011-02-09,,,,,,,Controversial,,,,,Z Cha(ab),121.8666667,-76.5336111,15.5,,,,,,,0.965,,Nova,,,,
alf Per b,6.6,0.2,0.2,,,,128.2,0.1,0.1,0.97,,,0.1,0.04,0.04,0.006218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2012,2012-05-22,208.37,12.36,12.36,2451513.0,4.91,4.91,Controversial,,,,,alf Per,51.0791667,49.8611111,1.82,,,,,156.0,-0.07,7.3,55.0,F5Ib,0.041,6350.0,,
anonymous b,1.7,,,,,,157.57,,,0.77,,,0.085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2011,2011-01-24,,,,,,,Controversial,,,,,anonymous,0.0,0.0,,,,,,,0.15,2.4,,G,,4861.0,,
eps Eridani c,0.1,,,,,,102270.0,,,40.0,inf,inf,0.3,,,12.5,,,,,,,,,,,,,,,,-869.74,,,,,,,,,,,,,1,,2012-09-07,,,,,,,Controversial,,,,,eps Eridani,53.2291667,-9.4580556,3.73,,,,,3.2,-0.13,0.83,0.895,K2 V,0.66,5116.0,,
nu Oct b,2.5,,,,,,418.0,,,1.2,0.1,0.1,0.123,0.037,0.037,0.056604,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2009,2010-09-14,,,,,,,Controversial,,,,,nu Oct,325.3708333,-77.39,3.76,,,,,21.2,,1.4,,K1III,,,,
rho CrB b,1.04,,,,,,39.645,0.088,0.088,0.22,,,0.028,0.04,0.04,0.012622,0.4,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1,1997,2011-01-11,30.0,74.0,74.0,2450559.37,0.54,0.54,Controversial,,,,,rho CrB,240.2625,33.3141667,5.4,,,,,17.43,-0.24,0.99,1.284,G0V or G2V,9.0,5822.0,,
tau Cet b,0.0063,0.0025,0.0025,,,,13.965,0.02,0.02,0.105,0.006,0.006,0.16,0.22,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2012,2013-01-16,85.5,,,2450004.17,,,Controversial,,,,,tau Cet,26.0167,-15.9375,3.5,,,,,3.65,-0.55,0.783,0.793,G8.5 V,5.8,5344.0,,
tau Cet c,0.0098,0.0044,0.0044,,,,35.362,0.1,0.1,0.195,0.01,0.01,0.03,0.3,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2012,2013-01-16,170.0,,,2450020.62,,,Controversial,,,,,tau Cet,26.0167,-15.9375,3.5,,,,,3.65,-0.55,0.783,0.793,G8.5 V,5.8,5344.0,,
tau Cet d,0.011,0.005,0.005,,,,94.11,0.7,0.7,0.374,0.02,0.02,0.08,0.26,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2012,2013-01-16,228.0,,,245002.31,,,Controversial,,,,,tau Cet,26.0167,-15.9375,3.5,,,,,3.65,-0.55,0.783,0.793,G8.5 V,5.8,5344.0,,
tau Cet e,0.0135,0.0063,0.0063,,,,168.12,2.0,2.0,0.552,0.02,0.02,0.05,0.2,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2012,2013-01-16,313.5,,,2450037.42,,,Controversial,,,,,tau Cet,26.0167,-15.9375,3.5,,,,,3.65,-0.55,0.783,0.793,G8.5 V,5.8,5344.0,,
tau Cet f,0.021,0.011,0.011,,,,642.0,30.0,30.0,1.35,0.1,0.1,0.03,0.3,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2012,2013-01-16,222.0,,,2450168.49,,,Controversial,,,,,tau Cet,26.0167,-15.9375,3.5,,,,,3.65,-0.55,0.783,0.793,G8.5 V,5.8,5344.0,,
theta Cyg b,2.29,0.4,0.4,,,,154.5,,,0.63,,,0.0,,,0.03437,,,,,,,,,,,,,,,,2450154.5,0.4,0.4,,,,,,,,,,,1,2009,2012-08-21,,,,,,,Controversial,,,,,theta Cyg,294.1125,50.2211111,4.48,,,,,18.33,-0.08,1.38,,F4V,1.5,6745.0,,
